巷道名稱,長度公尺,實際寬度公尺,受影響建築物之詳細地址,行政區,轄區分隊,分區
安中路六段581巷,250,2.5,15戶,安南區,土城分隊,紅
安中路六段597巷,250,2.5,12戶,安南區,土城分隊,紅
城北路72巷,100,2.5,4戶,安南區,土城分隊,紅
城北路98巷6弄,100,2.3,12戶,安南區,土城分隊,紅
城西街一段61巷27弄,150,2.5,4戶,安南區,土城分隊,紅
城西街一段61巷28弄,250,3,10戶,安南區,土城分隊,紅
城西街一段194巷,150,2.5,4戶,安南區,土城分隊,紅
城西街一段215巷,100,2.5,5戶,安南區,土城分隊,紅
城西街二段263巷,200,2.5,6戶,安南區,土城分隊,紅
城北路112巷,150,2,17.27.29,安南區,土城分隊,紅
城西街三段484巷,150,2.5,6戶,安南區,土城分隊,紅
媽祖宮路137巷,100,2.8,7戶,安南區,土城分隊,紅
媽祖宮路159巷,70,2.4,1~7,安南區,土城分隊,紅
顯宮二街55巷,100,2.3,1~19.2~6,安南區,土城分隊,紅
四草大道81巷,1100,3.6,1~19.2~18,安南區,土城分隊,紅
大眾六街181巷,200,2.8,7戶,安南區,土城分隊,紅
顯宮二街58巷,250,3.6,1~29.2~28,安南區,土城分隊,紅
顯宮一街,600,3.7,全,安南區,土城分隊,紅
媽祖宮二街,400,3.7,全,安南區,土城分隊,紅
大眾五街92巷,80,3.3,2~14,安南區,土城分隊,紅
府安路七段10巷,145,4,12.14.15.17,安南區,土城分隊,紅
府安路七段19巷,145,4,3.4,安南區,土城分隊,紅
府安路七段28巷,145,4,2.13.17,安南區,土城分隊,紅
府安路七段37巷,145,4,3.7,安南區,土城分隊,紅
府安路七段48巷,145,4,23,安南區,土城分隊,紅
府安路七段57巷,145,4,3.9.10.11.12.17.24.28,安南區,土城分隊,紅
府安路七段66巷,145,4,3.7.12.14.17.19.21.23.25,安南區,土城分隊,紅
府安路七段75巷,145,4,11.19.26,安南區,土城分隊,紅
府安路七段84巷,145,4,3.12.14.16.19.23,安南區,土城分隊,紅
府安路七段93巷,145,4,6.8.12.14,安南區,土城分隊,紅
府安路七段102巷,145,4,全,安南區,土城分隊,紅
北汕尾二路550巷,400,3.6,全,安南區,土城分隊,紅
北汕尾ㄧ路439巷,350,3.6,16.18.15.17.11.18-1.13.19.23.37.39,安南區,土城分隊,紅
北汕尾二路800巷,200,3,全,安南區,土城分隊,紅
大眾六街42巷,100,3,2.3.13.15.17.20,安南區,土城分隊,紅
大眾六街126巷,300,3,3.7.13.18.28.47.49,安南區,土城分隊,紅
公學路五段697巷,300,5,安南居易大樓附近街道雲梯車無法操作,安南區,土城分隊,紅
公學路六段458巷,50,4,3戶,安南區,土城分隊,紅
公學路六段490巷,50,4,5戶,安南區,土城分隊,紅
公學路六段642巷,60,4,6戶,安南區,土城分隊,紅
公學路六段660巷,80,4,5戶,安南區,土城分隊,紅
公學路六段672巷,50,4,2戶,安南區,土城分隊,紅
公學路五段363巷,120,4,13戶,安南區,土城分隊,紅
安興街43巷,120,4,20戶,安南區,土城分隊,紅
安興街120巷,40,4,5戶,安南區,土城分隊,紅
安興街702巷,50,4,14戶,安南區,土城分隊,紅
安興街156巷,50,4,5戶,安南區,土城分隊,紅
安中路六段429巷,500,4.5,18.20.22.24.26.28.30.33.48.50,安南區,土城分隊,黃
安中路六段519巷,300,4.7,1~29.2~30,安南區,土城分隊,黃
城西街一段181巷,200,4.6,20戶,安南區,土城分隊,黃
健康路一段296巷,50,3.7,單13-21      雙2-20號,中西區,南門分隊,紅
健康路一段328巷,50,3.4,單1-11      雙8-24號,中西區,南門分隊,紅
永福路一段61巷,50,1.1,單1-5      雙2-52號,中西區,南門分隊,紅
永福路一段24巷,50,1,1-6號,中西區,南門分隊,紅
忠義路一段24巷,200,3.1,單1-163      雙2-212號,中西區,南門分隊,紅
南寧街,30,2.3,19-25號,中西區,南門分隊,紅
南寧街37巷,30,2.8,2.3號,中西區,南門分隊,紅
南寧街106巷,50,1.5,1-11號,中西區,南門分隊,紅
南寧街120巷,50,1.8,單1-19     雙2-20號,中西區,南門分隊,紅
南寧街136巷,50,2.3,單1-9      雙2-12號,中西區,南門分隊,紅
南寧街83巷,50,2,單1-19     雙2-38號,中西區,南門分隊,紅
五妃街322巷,40,2.7,單3-35     雙4-26號,中西區,南門分隊,紅
南門路259巷,40,3,單1-9      雙2-20號,中西區,南門分隊,紅
南門路245巷,40,3.7,單1-7      雙2-22號,中西區,南門分隊,紅
南門路237巷,50,3,雙4號,中西區,南門分隊,紅
南門路231巷,50,2.9,單1-13      雙2-8號,中西區,南門分隊,紅
南門路227巷,50,2.7,單3-17      雙2-16號,中西區,南門分隊,紅
南門路209巷,50,3.2,單1-29      雙2-24號,中西區,南門分隊,紅
南門路187巷,50,3.8,單1-61      雙2-28號,中西區,南門分隊,紅
大同路二段482巷72弄,50,4,17.8~20.42.46,南區,南門分隊,紅
中華南路一段26巷,50,2.4,2號,南區,南門分隊,紅
中華南路一段19巷,50,2.2,1~23.2~24,南區,南門分隊,紅
中華南路一段27巷,50,2.4,5.2~34,南區,南門分隊,紅
中華南路一段33巷,50,2.1,2~8.18~30.38.40,南區,南門分隊,紅
中華南路一段41巷,50,2.3,2~32.,南區,南門分隊,紅
中華南路一段53巷,50,2.9,1~33.2~52,南區,南門分隊,紅
中華南路一段97巷,50,2.5,1.3.11.15~23.2~20.43~53.59.34~68,南區,南門分隊,紅
公英六街,50,2.3,1~55.2~48,南區,南門分隊,紅
大同路二段750巷74弄,50,2.1,大同路二段750巷74弄1-33號,南區,南門分隊,紅
健康路一段391巷16弄,50,2.8,1~11.2~12共12戶,南區,南門分隊,紅
健康路一段391巷18弄,50,2.6,1~11.2~12共12戶,南區,南門分隊,紅
健康路一段50巷,50,6.2,單1-41    雙2-16號,中西區,南門分隊,黃
健康路一段100巷,50,6,單3-9     雙2-26號,中西區,南門分隊,黃
健康路一段150巷,50,5.7,單1-25    雙2-20號,中西區,南門分隊,黃
健康路一段140巷,50,5.2,單1-7 31-35 雙2-36號,中西區,南門分隊,黃
健康路一段160巷,50,4.9,單1-31    雙2-34號,中西區,南門分隊,黃
健康路一段170巷1弄,50,5.2,雙2-16號,中西區,南門分隊,黃
健康路一段310巷,50,5.5,單1-21    雙2-20號,中西區,南門分隊,黃
健康路一段410巷,50,5.2,單1-39    雙2-36號,中西區,南門分隊,黃
健康路一段390巷,50,5.3,單1-77    雙2-46號,中西區,南門分隊,黃
健康路一段420巷,50,5.3,單1-27    雙2-26號,中西區,南門分隊,黃
南門路44巷,50,6.1,單1-21    雙2-22號,中西區,南門分隊,黃
南門路48巷,50,6,單1-21    雙2-22號,中西區,南門分隊,黃
南門路68巷,50,6.1,單1-25    雙2-20號,中西區,南門分隊,黃
大同路二段482巷155弄,50,4.5,雙2-50    單25-63號,南區,南門分隊,黃
大同路二段620巷,50,4.4,雙2-20    單1-13號,南區,南門分隊,黃
大同路二段640巷,100,6,雙4-106   單1-95號,南區,南門分隊,黃
公英一街,50,6,雙20-74   單3-83號,南區,南門分隊,黃
公英四街,50,6,雙2-38    單1-37號,南區,南門分隊,黃
體育路43巷,50,4.1,雙2-38    單1-37號,南區,南門分隊,黃
健康路一段333巷,50,6,75.16.14號,南區,南門分隊,黃
大同路二段640巷35弄,50,6,7.9號,南區,南門分隊,黃
國民路50巷,50,6,1-33號,南區,南門分隊,黃
大同路二段704巷,50,6,雙2-92    單15-95號,南區,南門分隊,黃
國民路60巷,50,6,1.3.5.7.9.19-37號,南區,南門分隊,黃
國民路116巷9弄,50,6,雙2-14    單1-13號,南區,南門分隊,黃
國民路158巷,50,6,雙6-40    單11-19號,南區,南門分隊,黃
國民路165巷7弄,50,6,雙2-56    單13-55號,南區,南門分隊,黃
國民路165巷21弄,50,6,雙2-60    單1-57號,南區,南門分隊,黃
國民路165巷35弄,75,6,雙2-50    單1-63號,南區,南門分隊,黃
大同路二段712巷,50,6,2.4.12    單1-9號,南區,南門分隊,黃
大同路二段726巷,50,6,1.2.3.4.5.6.7.8號,南區,南門分隊,黃
大同路二段750巷40弄,50,6,雙2-48    單1-53號,南區,南門分隊,黃
大同路二段750巷134弄,50,6,3-24號,南區,南門分隊,黃
大同路二段750巷164弄,50,6,雙2-40    單1-11號,南區,南門分隊,黃
國民路217巷,50,6,雙34-58   單3-57號,南區,南門分隊,黃
國民路217巷6弄,50,6,雙2-14    單1-23號,南區,南門分隊,黃
國民路217巷12弄,50,6,雙2-20    單1-21號,南區,南門分隊,黃
國民路217巷24弄,50,6,雙2-28    單1-25號,南區,南門分隊,黃
健康路一段133巷,50,6,雙6-58    單1-95號,南區,南門分隊,黃
大成路一段193巷,150,6,138戶,南區,南門分隊,黃
法華街,300,2.1,單1-163   雙2-212號,中西區,南門分隊,黃
大同路一段238巷,50,3.2,單1-13    雙4-32號,中西區,南門分隊,黃
樹林街二段125巷,50,2.9,單3-33    雙2-22號,中西區,南門分隊,黃
府緯街4巷,50,3.9,單1-33    雙6號,中西區,南門分隊,黃
府緯街9巷,50,3.7,單1-29    雙2-26號,中西區,南門分隊,黃
大同路二段100巷,150,3.5,1~22號共22戶(大林新城),南區,南門分隊,藍
大同路二段112巷,150,3.5,1~22號共22戶(大林新城),南區,南門分隊,藍
大同路二段136巷,150,3.5,1~22號共22戶(大林新城),南區,南門分隊,藍
大同路二段164巷,150,3.5,1~22號共22戶(大林新城),南區,南門分隊,藍
大同路二段186巷,150,3.5,1~22號共22戶(大林新城),南區,南門分隊,藍
新興路93巷3弄,10,4,12~48.21~49共34戶,南區,德興分隊,紅
新興路93巷,15,2.2,2~54.1~7.13.17.21~25共31戶,南區,德興分隊,紅
新興路113巷,25,2.2,1-101號共25戶,南區,德興分隊,紅
新興路113巷35弄,30,2.2,1~21.2~22共21戶,南區,德興分隊,紅
新興路161巷,20,2.8,9.19.19-1.21.25.29.31.35~45.2.2-1.4.8.12~16.20.24.32~36.42.44共27戶,南區,德興分隊,紅
大?街170巷,30,1.4,大?街170巷2-31號,南區,德興分隊,紅
大?街160巷,15,1.2,大?街160巷2-20號,南區,德興分隊,紅
大?街154巷,15,1.2,大?街154巷1-21號,南區,德興分隊,紅
大德街141巷,15,1.2,大德街141巷1號一105號,南區,德興分隊,紅
大德街,10,2.4,大德街131-1號一135號,南區,德興分隊,紅
健康路二段116巷7弄,10,2.4,健康路二段116巷7弄1-13號,南區,德興分隊,紅
健康路二段53巷51弄,10,1.8,健康路二段53巷51弄1-25號,南區,德興分隊,紅
金華路二段345巷26弄,10,2.8,金華路二段345巷26弄1-37號,南區,德興分隊,紅
金華路二段345巷8弄,10,2.4,金華路二段345巷8弄9-22號,南區,德興分隊,紅
金華路二段345巷44弄,10,2.4,金華路二段345巷44弄1-34號,南區,德興分隊,紅
金華路二段399巷,10,2.8,金華路二段399巷2-23號,南區,德興分隊,紅
金華路一段154巷,15,2.5,金華路一段154巷30-44號,南區,德興分隊,紅
金華路一段484巷121弄,10,2,金華路一段484巷121弄1-13,南區,德興分隊,紅
金華路一段484巷127弄,10,2,金華路一段484巷127弄18-20號,南區,德興分隊,紅
金華路一段530巷10弄,10,2,金華路一段530巷10弄1-18號,南區,德興分隊,紅
金華路一段540巷,10,2.5,金華路一段540巷1-19號,南區,德興分隊,紅
大成路二段81巷5弄,10,2,大成路二段81巷5弄1-12號,南區,德興分隊,紅
大成路二段81巷,10,1,大成路二段81巷50-60號,南區,德興分隊,紅
大成路二段143巷,25,1,大成路二段143巷2-81號,南區,德興分隊,紅
大成路二段223巷1弄,20,2.1,大成路二段223巷1弄1-26,南區,德興分隊,紅
大成路二段223巷5弄,20,2.1,大成路二段223巷5弄1-28號,南區,德興分隊,紅
國華街一段22巷,35,1.8,國華街一段22巷1-15號,南區,德興分隊,紅
永成路三段461巷2弄,35,2,永成路三段461巷2弄,南區,德興分隊,紅
永成路三段240巷,30,1,永成路三段240巷,南區,德興分隊,紅
鹽埕路291巷31弄,30,2.1,1.2.3.7.19.6~22.23~35共22戶,南區,德興分隊,紅
西門路一段279巷16弄,35,6,西門路一段279巷16弄,南區,德興分隊,黃
金華路一段352巷88弄,30,6,金華路一段352巷88弄,南區,德興分隊,黃
新都路488巷,35,6,新都路488巷,南區,德興分隊,黃
新都路436巷,30,6,新都路436巷,南區,德興分隊,黃
金華路一段352巷130弄,40,6,金華路一段352巷130弄,南區,德興分隊,黃
金華路一段352巷75弄,30,6,金華路一段352巷75弄,南區,德興分隊,黃
金華路一段352巷193弄,35,6,金華路一段352巷193弄,南區,德興分隊,黃
金華路一段272巷,30,6,金華路一段272巷,南區,德興分隊,黃
金華路一段352巷34弄,35,6,金華路一段352巷34弄,南區,德興分隊,黃
新興路461巷8弄,30,6,新興路461巷8弄,南區,德興分隊,黃
新興路439巷4弄,20,6,新興路439巷4弄,南區,德興分隊,黃
金華路二段3巷,35,6,金華路二段3巷,南區,德興分隊,黃
金華路二段21巷,40,6,金華路二段21巷,南區,德興分隊,黃
金華路二段9巷,30,6,金華路二段9巷,南區,德興分隊,黃
健康路二段234巷,30,6,健康路二段234巷,南區,德興分隊,黃
金華路二段27巷,50,6,金華路二段27巷,南區,德興分隊,黃
金華路二段33巷,30,6,金華路二段33巷,南區,德興分隊,黃
金華路二段39巷,15,6,金華路二段39巷,南區,德興分隊,黃
金華路二段51巷,40,6,金華路二段51巷,南區,德興分隊,黃
中華南路二段233巷31弄,10,6,中華南路二段233巷31弄,南區,德興分隊,黃
金華路一段484巷99弄,10,6,金華路一段484巷99弄,南區,德興分隊,黃
大成路二段177巷28弄,10,6,大成路二段177巷28弄,南區,德興分隊,黃
永成路三段357巷,15,6,永成路三段357巷,南區,德興分隊,黃
永成路三段461巷6弄,25,6,永成路三段461巷6弄,南區,德興分隊,黃
永成路三段551巷,25,6,永成路三段551巷,南區,德興分隊,黃
新都路520巷,25,4.4,11號~69號.12號~68號,南區,德興分隊,藍
新都路520巷1弄,25,4.4,1號.3號.3-1號.5號.6號,南區,德興分隊,藍
鯤鯓路104巷12弄,約170,約2.5,鯤鯓路104巷12弄1-43號,南區,灣裡分隊,紅
鯤鯓路104巷16弄,約30,約2.1,鯤鯓路104巷16弄1-11號,南區,灣裡分隊,紅
鯤鯓路104巷,約220,約3.5,雙號：20-36號.單號：45-69號,南區,灣裡分隊,紅
鯤鯓路102巷,約60,約2.3,鯤鯓路102巷114號前,南區,灣裡分隊,紅
鯤鯓路119巷,約140,約4,鯤鯓路119巷16-1號前,南區,灣裡分隊,紅
鯤鯓路137巷,約100,約2,1-6號,南區,灣裡分隊,紅
鯤鯓路162巷,約110,約2.2,單號：1-15號.雙號：2-28號,南區,灣裡分隊,紅
鯤鯓路194巷,約190,約2.3,單號：1-85號.雙號：2-52號,南區,灣裡分隊,紅
鯤鯓路208巷,約50,約2.8,單號：1-11號.雙號：2-12號,南區,灣裡分隊,紅
鯤鯓路232巷,約360,約3,單號：1-79號.雙號：2-80號,南區,灣裡分隊,紅
喜樹路178巷,約40,約2.2,單號：1-3號.雙號：2-14號,南區,灣裡分隊,紅
喜樹路222巷92弄,約70,約1.8,1-7號(單號),南區,灣裡分隊,紅
明興路943巷,約150,約4,單號：1-23號.雙號：2-24號,南區,灣裡分隊,紅
明興路1129巷,約130,約3,2-22號(雙號),南區,灣裡分隊,紅
明興路1356巷5弄,約80,約4,1-23號(單號),南區,灣裡分隊,紅
明興路1356巷,約100,約2.4,單號：1-15號.雙號：2-8號,南區,灣裡分隊,紅
喜樹路168巷,約80,約2.5,喜樹路168巷1-17.2-22,南區,灣裡分隊,紅
喜樹路222巷8弄,約120,約2.1,2-16號(雙號),南區,灣裡分隊,紅
喜樹路222巷6弄,約130,約2,2-20號(雙號),南區,灣裡分隊,紅
喜樹路222巷7弄,約25,約1.4,1-11號(單號),南區,灣裡分隊,紅
喜樹路146巷,約110,約3.1,單號：1-17號.雙號：2-20號,南區,灣裡分隊,紅
喜樹路222巷29弄,約160,約1.8,單號：1-21號.雙號：2-22號,南區,灣裡分隊,紅
喜樹路222巷37弄,約80,約1.4,1-25號(單號),南區,灣裡分隊,紅
喜樹路252巷,約90,約3.4,單號：1-43號.雙號：2-16號,南區,灣裡分隊,紅
喜樹路252巷27弄,約60,約1.6,1-10號,南區,灣裡分隊,紅
喜樹路254巷,約210,約3.3,1-52號,南區,灣裡分隊,紅
喜樹路270巷,約210,約2.5,單號：1-23號.雙號：2-50號,南區,灣裡分隊,紅
喜樹路288巷,約100,約1.3,單號：1-63號.雙號：2-76號,南區,灣裡分隊,紅
喜樹路302巷,約190,約4,單號：1-49號.雙號：2-50號,南區,灣裡分隊,紅
喜樹路316巷,約50,約2.4,單號：1-7號.雙號：2-40號,南區,灣裡分隊,紅
明興路861巷,約70,約3.5,24-30號(雙號),南區,灣裡分隊,紅
明興路1231巷,約50,約3,1-7號(單號),南區,灣裡分隊,紅
明興路1129巷1弄,約60,約3,明興路1129巷1弄1-11.2-20,南區,灣裡分隊,紅
明興路1013巷,約50,約2.5,明興路1013巷,南區,灣裡分隊,紅
灣裡路72巷,約90,約3.6,單號：3-17號.雙號：14-24號,南區,灣裡分隊,紅
灣裡路88巷至省躬一街口,約130,約3.8,單號：5-15號.雙號：14-24號,南區,灣裡分隊,紅
灣裡路88巷3弄,約220,約3,單號：1-55號.雙號：14-24號,南區,灣裡分隊,紅
灣裡路88巷139弄,約50,約2.9,單號：9-13號.雙號：2-20號,南區,灣裡分隊,紅
灣裡路114巷,約50,約1.6,單號：1-9號.雙號：2-8號,南區,灣裡分隊,紅
灣裡路136巷,約60,約1.5,單號：1-15號.雙號：12-20號,南區,灣裡分隊,紅
灣裡路148巷,約50,約1.5,單號：3-11號.雙號：2-20號,南區,灣裡分隊,紅
灣裡路152巷,約50,約1.5,1-8號,南區,灣裡分隊,紅
灣裡路162巷,約60,約2.6,單號：1-23號.雙號：2-24號,南區,灣裡分隊,紅
灣裡路186巷,約60,約2.2,單號：1-9號.雙號：2-24號,南區,灣裡分隊,紅
灣裡路196巷,約100,約2.2,單號：7-13號.雙號：2-12號,南區,灣裡分隊,紅
灣裡路206巷,約100,約1.6,單號：1-39號.雙號：2-8號,南區,灣裡分隊,紅
灣裡路218巷,約70,約2.1,單號：1-9號.雙號：2-12號,南區,灣裡分隊,紅
灣裡路238巷,約90,約1.5,4-18號(雙號),南區,灣裡分隊,紅
灣裡路246巷,約90,約2.5,單號：3-15號.雙號：6-18號,南區,灣裡分隊,紅
灣裡路282巷124弄,約100,約3,1-11號(單號),南區,灣裡分隊,紅
灣裡路282巷36弄,約110,約3.2,5-59號8之1-22號,南區,灣裡分隊,紅
灣裡路282巷68弄,約100,約2.8,單號：3之1-23號.雙號：2-54號,南區,灣裡分隊,紅
灣裡路282巷88弄,約90,約2.2,3-11號10-24號9-15號,南區,灣裡分隊,紅
灣裡路282巷30弄,約60,約2,6之1-14號,南區,灣裡分隊,紅
灣裡路324巷,約60,約1.6,單號：1-19號.雙號：22-28號,南區,灣裡分隊,紅
灣裡路348巷,約60,約1.5,單號：3-21號.雙號：6-22號,南區,灣裡分隊,紅
灣裡路372巷,約90,約1.5,單號：7-49號.雙號：6-24號,南區,灣裡分隊,紅
灣裡路400巷,約160,約2.8,單號：9-45號.雙號：4-44號,南區,灣裡分隊,紅
灣裡路400巷11弄,約70,約2.5,2之10號-48號(雙號),南區,灣裡分隊,紅
灣裡路448巷,約190,約2.2,1-18號,南區,灣裡分隊,紅
興南街86巷,約170,約2.6,單號：11-31號.雙號：4-40號,南區,灣裡分隊,紅
興南街92巷,約80,約1.5,3-29號(單號),南區,灣裡分隊,紅
興南街124巷,約100,約3.2,單號：1-15號.雙號：10-38號,南區,灣裡分隊,紅
灣裡路88巷52弄,約90,約2,單號：7-19號.雙號：2-32號,南區,灣裡分隊,紅
灣裡路88巷,約130,約3.6,207-215號(單號),南區,灣裡分隊,紅
灣裡路476巷,約50,約2,2-8號(雙號),南區,灣裡分隊,紅
灣裡路496巷,約70,約1.2,單號：1-9號.雙號：6-10號,南區,灣裡分隊,紅
灣裡路506巷,約80,約1.5,單號：1-17號.雙號：6-10號,南區,灣裡分隊,紅
灣裡路516巷,約90,約1.8,單號：1-11號.雙號：6-12號,南區,灣裡分隊,紅
灣裡路301巷,約140,約1.8,單號：1-15號.雙號：2-26號,南區,灣裡分隊,紅
灣裡路282巷117弄,約40,約1.8,1-11號(單號),南區,灣裡分隊,紅
灣裡路451巷,約200,約3.4,單號：3-11號雙號：6之1-24號,南區,灣裡分隊,紅
省躬一街2巷,約80,約2.5,單號：1-35號.雙號：2-22號,南區,灣裡分隊,紅
省躬一街32巷,約60,約2.7,單號：1-7號.雙號：2-18號,南區,灣裡分隊,紅
灣裡路227巷,約80,約1.5,單號：1-19號.雙號：2-8號,南區,灣裡分隊,紅
灣裡路235巷,約170,約2.3,單號：1-19號.雙號：2-32號,南區,灣裡分隊,紅
灣裡路88巷93弄,約320,約3,單號：7-59號.雙號：10-94號,南區,灣裡分隊,紅
灣裡路263巷2弄,約80,約2,單號：1-9號.雙號：4-10號,南區,灣裡分隊,紅
灣裡路282巷,約500,約3.6,單號：1-27號.雙號：6-20號,南區,灣裡分隊,紅
灣裡路263巷12弄,約100,約2,單號：1-11號.雙號：4-14號,南區,灣裡分隊,紅
灣裡路211巷70弄,約100,約2,單號：1-25號.雙號：2-26號,南區,灣裡分隊,紅
灣裡路263巷49弄,約40,約2,2-16號(雙號),南區,灣裡分隊,紅
灣裡路263巷34弄,約80,約2,單號：1-19號.雙號：2-8號,南區,灣裡分隊,紅
灣裡路263巷52弄,約150,約2.5,單號：1之1-53號雙號：6-10號,南區,灣裡分隊,紅
灣裡路263巷61弄,約140,約2.5,單號：3-11之2號.雙號：2之1-14號,南區,灣裡分隊,紅
灣裡路263巷67弄,約230,約3,單號：1-1至53號.雙號：8-46號,南區,灣裡分隊,紅
明興路1398巷,約80,約2.9,單號：1-5號.雙號：2-8號,南區,灣裡分隊,紅
灣裡路282巷91弄,約90,約1.2,單號：1-11號.雙號：6-22號,南區,灣裡分隊,紅
灣裡路263巷73弄,約210,約2,單號：1-27號.雙號：2-26號,南區,灣裡分隊,紅
灣裡路263巷95弄,約40,約2,2-6號(雙號),南區,灣裡分隊,紅
興南街2巷,約120,約2,單號：5-13號.雙號：2-14號,南區,灣裡分隊,紅
灣裡路333巷口,約110,約2.1,單號：1-19號.雙號：2-16號,南區,灣裡分隊,紅
灣裡路333巷4弄,約50,約2.3,單號：1-7號雙號：2-10之2號,南區,灣裡分隊,紅
灣裡路351巷,約290,約3.7,單號：7-13號.雙號：8-12號,南區,灣裡分隊,紅
灣裡路351巷15弄,約150,約2.7,單號：1-25號.雙號：2-20號,南區,灣裡分隊,紅
灣裡路351巷12弄,約80,約3.1,1-10號,南區,灣裡分隊,紅
灣裡路369巷,約60,約2.7,單號：1-13號.雙號：2-12號,南區,灣裡分隊,紅
灣裡路372巷3弄,約60,約2.3,單號：3-17號.雙號：4-26號,南區,灣裡分隊,紅
興南街184巷,約230,約3,單號：9-41號.雙號：10-58號,南區,灣裡分隊,紅
鯤鯓路115巷,約80,約7.8,鯤鯓路115巷,南區,灣裡分隊,黃
喜樹路40巷,約110,約7.5,喜樹路40巷1-43.2-44,南區,灣裡分隊,黃
喜樹路56巷,約150,約7,喜樹路56巷1-43.2-44,南區,灣裡分隊,黃
喜樹路84巷,約110,約7,喜樹路84巷1-43.2-44,南區,灣裡分隊,黃
喜樹路74巷,約140,約6.8,喜樹路74巷1-43.2-42,南區,灣裡分隊,黃
喜樹路96巷,約110,約6.9,喜樹路96巷1-43.2-42,南區,灣裡分隊,黃
喜樹路104巷,約140,約4,喜樹路104巷1-41.2-46,南區,灣裡分隊,黃
喜樹路118巷,約140,約4.5,喜樹路118巷1-29.2-46,南區,灣裡分隊,黃
喜樹路134巷,約110,約5.2,喜樹路134巷1-25.2-30,南區,灣裡分隊,黃
喜樹路206巷84弄,約50,約4.2,喜樹路206巷84弄2-8,南區,灣裡分隊,黃
喜樹路206巷71弄,約40,約6.6,喜樹路206巷71弄1-5.2-6,南區,灣裡分隊,黃
喜樹路206巷89弄,約30,約4.9,喜樹路206巷89弄,南區,灣裡分隊,黃
喜樹路151巷63弄,約100,約5.7,喜樹路151巷63弄1-37.2-38,南區,灣裡分隊,黃
明興路619巷,約1380,約6,明興路619巷7-487.2-424之6,南區,灣裡分隊,黃
明興路883巷,約40,約6,明興路883巷1-25.2-6,南區,灣裡分隊,黃
明興路1055巷17弄,約175,約5,明興路1055巷17弄1-61.2-70,南區,灣裡分隊,黃
明興路1055巷18弄,約40,約5,明興路1055巷18弄1-3.2-12,南區,灣裡分隊,黃
明興路1079巷,約80,約5.3,明興路1079巷1-11.2-16,南區,灣裡分隊,黃
明興路1285巷30弄,約90,約5.7,明興路1285巷30弄1-47.2-80,南區,灣裡分隊,黃
明興路1312巷,約40,約3.6,明興路1312巷5-13,南區,灣裡分隊,黃
明興路1365巷,約100,約5.3,明興路1365巷1-27.2-34,南區,灣裡分隊,黃
明興路1365巷22弄,約40,約3.7,明興路1365巷22弄1-7.2-8,南區,灣裡分隊,黃
灣裡路62巷40弄,約200,約5,灣裡路62巷40弄1-53.2-50,南區,灣裡分隊,黃
明興路1395巷9弄,約40,約3.8,明興路1395巷9弄1-11.2-8,南區,灣裡分隊,黃
明興路1425巷8弄,約50,約4.3,明興路1425巷8弄1-15.2-14,南區,灣裡分隊,黃
明興路1425巷14弄,約80,約6,明興路1425巷14弄1-15.2-24,南區,灣裡分隊,黃
灣裡路62巷38弄,約30,約6,灣裡路62巷38弄1-3.2-14,南區,灣裡分隊,黃
省躬一街12巷,約90,約4,省躬一街12巷1-23.2-22號,南區,灣裡分隊,黃
省躬二街26巷,約30,約5,單號：1-19.雙號：2-10號,南區,灣裡分隊,黃
興南街101巷,約70,約2,17之1-29.14-16號,南區,灣裡分隊,黃
省躬二街,約130,約6.5,省躬二街5-29.2-42號,南區,灣裡分隊,黃
灣裡路282巷,約500,約5.7,單號：45-119.雙號：38-150號,南區,灣裡分隊,黃
灣裡路211巷88弄,約30,約5.7,6-10之5號,南區,灣裡分隊,黃
灣裡路282巷110弄,約160,約4.9,單號：1-33之2.雙號：2-58號,南區,灣裡分隊,黃
大同路一段22巷,約120,2.5,單13-75   雙2-8,中西區,中正分隊,紅
大同路一段46巷,約120,1.5,單3-39    雙4-88,中西區,中正分隊,紅
中山路79巷,約120,2.3,單1-5     雙6-72,中西區,中正分隊,紅
中山路82巷,約120,2,單11-21   雙2-30,中西區,中正分隊,紅
中正路21巷,約150,1.4,單1-33,中西區,中正分隊,紅
中正路53巷,約120,2.1,單1-13    雙2-22,中西區,中正分隊,紅
民生路一段132巷,約150,1.3,單1-17    雙14-30,中西區,中正分隊,紅
民生路一段156巷,約120,2.5,單3-25    雙2-34,中西區,中正分隊,紅
民生路一段157巷,約150,1.4,單3-45    雙2-32,中西區,中正分隊,紅
民族路二段317巷,約150,2.9,單3-5     雙2-46,中西區,中正分隊,紅
民族路二段57巷,約150,2.8,單1-9     雙6-40,中西區,中正分隊,紅
民權路二段64巷,約250,1.1,單1-53    雙2-56,中西區,中正分隊,紅
永福路一段102巷,約150,2.5,單1-27    雙2-52,中西區,中正分隊,紅
永福路一段108巷,約150,2.4,單1-5     雙2-24,中西區,中正分隊,紅
永福路一段68巷,約120,1.3,單1-17    雙2-12,中西區,中正分隊,紅
永福路二段197巷,約120,1,單1-15    雙2-16,中西區,中正分隊,紅
永福路二段227巷,約120,1.5,單1-53    雙2-18,中西區,中正分隊,紅
西門路一段702巷,約120,2.1,單1-29    雙2-24,中西區,中正分隊,紅
西門路一段734巷,約150,2.3,單5-13    雙2-22,中西區,中正分隊,紅
西門路二段228巷,約100,1.2,單5-13    雙2-42,中西區,中正分隊,紅
